,Store,Brand,Link,Image,ShortName,Name,Price,Currency,Composition,Size
0,WollPlatz,DMC,https://www.wollplatz.de/wolle/dmc/dmc-natura-xl,https://www.wollplatz.de/resize/71_2_9.jpg/250/250/True/dmc-natura-xl.jpg,"
DMC Natura XL
",DMC Natura XL 02 Black,DMC Natura XL,€ ,100% Baumwolle,75 Meter
1,WollPlatz,Drops,https://www.wollplatz.de/wolle/drops/drops-baby-merino-mix,https://www.wollplatz.de/resize/37_1_54.jpg/250/250/True/drops-baby-merino-mix.jpg,"
Drops Baby Merino Mix
",Drops Baby Merino Mix 17 Beige,Drops Baby Merino Mix,€ ,100% Merinowolle,175 Meter
2,WollPlatz,Drops,https://www.wollplatz.de/wolle/drops/drops-safran,https://www.wollplatz.de/resize/bwdr1042_01_13776263191008.jpg/250/250/True/drops-safran.jpg,"
Drops Safran
",Drops Safran 1 Light-pink,Drops Safran,€ ,100% Baumwolle,160 Meter
3,WollPlatz,Stylecraft,https://www.wollplatz.de/pakete/rabattpakete/stylecraft-special-dk-alle-farben-paket,https://www.wollplatz.de/resize/pakket_16313763227021.jpg/250/250/True/stylecraft-special-dk-alle-farben-paket.jpg,"
Stylecraft Special DK Alle Farben Paket
",Stylecraft Special DK Alle Farben Paket,,€ ,4 mm,100% Acryl
4,WollPlatz,Stylecraft,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-dk,https://www.wollplatz.de/resize/bwstspecialdk_1836_1_15688763200773.jpg/250/250/True/stylecraft-special-dk.jpg,"
Stylecraft Special DK
",Stylecraft Special dk 1001 White,Stylecraft Special dk,€ ,4 mm,100% Acryl
5,WollPlatz,Stylecraft,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-dk-farbkarte,https://www.wollplatz.de/resize/stylecraft-kleurenkaart.jpg/250/250/True/stylecraft-special-dk-farbkarte.jpg,"
Stylecraft Special dk Farbkarte
",Stylecraft Special dk Farbkarte,,€ ,fntst1961112,5034533068270
